,title,artist,year,bpm,en,dnce,loud,live,val,dur,acous,speech,pop
0,Sunrise,Norah Jones,2004,157,30,53,-14,11,68,201,94,3,71
1,Black Night,Deep Purple,2000,135,79,50,-11,17,81,207,17,7,39
2,Clint Eastwood,Gorillaz,2001,168,69,66,-9,7,52,341,2,17,69
3,The Pretender,Foo Fighters,2007,173,96,43,-4,3,37,269,0,4,76
4,Waitin' On A Sunny Day,Bruce Springsteen,2002,106,82,58,-5,10,87,256,1,3,59
5,The Road Ahead (Miles Of The Unknown),City To City,2004,99,46,54,-9,14,14,247,0,2,45
6,She Will Be Loved,Maroon 5,2002,102,71,71,-6,13,54,257,6,3,74
7,Knights of Cydonia,Muse,2006,137,96,37,-5,12,21,366,0,14,69
8,Mr. Brightside,The Killers,2004,148,92,36,-4,10,23,223,0,8,77
9,Without Me,Eminem,2002,112,67,91,-3,24,66,290,0,7,82
10,Love Me Tender,Elvis Presley,2002,109,5,44,-16,11,31,162,88,4,49
11,Seven Nation Army,The White Stripes,2003,124,46,74,-8,26,32,232,1,8,74
12,Als Het Golft,De Dijk,2000,102,88,54,-6,53,59,214,2,3,34
13,I'm going home,Ten Years After,2005,117,93,38,-2,81,40,639,18,10,26
14,Fluorescent Adolescent,Arctic Monkeys,2007,112,81,65,-5,14,82,173,0,3,66
15,Zonder Jou,Paul de Leeuw,2006,133,42,42,-10,16,25,236,84,4,48
16,Speed of Sound,Coldplay,2005,123,90,52,-7,7,36,288,0,6,69
17,Uninvited,Alanis Morissette,2005,127,54,38,-5,9,19,276,2,3,57
18,Music,John Miles,2004,87,31,27,-13,63,12,352,1,3,46
19,Cry Me a River,Justin Timberlake,2002,74,65,62,-7,10,56,288,57,18,74
20,Fix You,Coldplay,2005,138,42,21,-9,11,12,296,16,3,81
21,The Cave,Mumford & Sons,2009,142,51,60,-10,11,35,218,5,4,67
22,Als De Morgen Is Gekomen,Jan Smit,2006,96,89,63,-6,9,81,176,5,3,55
23,Somebody Told Me,The Killers,2004,138,99,51,-3,12,65,197,0,9,69
24,Dichterbij Dan Ooit,BLØF,2002,112,74,65,-7,23,52,261,18,3,16
25,Miracle,Ilse DeLange,2008,130,48,55,-8,10,18,270,48,3,50
26,Smokers Outside the Hospital Doors,Editors,2007,123,68,53,-4,12,55,298,0,4,56
27,Cleanin' Out My Closet,Eminem,2002,148,76,91,-5,8,87,298,7,17,71
28,Der Weg,Herbert Grönemeyer,2008,142,24,34,-11,12,19,259,92,4,48
29,7 Seconds (feat. Neneh Cherry),Youssou N'Dour,2004,154,70,68,-10,33,51,306,8,3,59
30,The Scientist,Coldplay,2002,146,44,56,-7,11,21,310,73,2,84
31,Big Log - 2006 Remaster,Robert Plant,2007,181,59,56,-9,20,68,306,32,3,57
32,Chasing Pavements,Adele,2008,80,47,62,-6,11,33,211,31,3,63
33,Don't Know Why,Norah Jones,2002,88,20,73,-12,7,62,186,88,3,74
34,Tears Dry On Their Own,Amy Winehouse,2006,122,87,64,-3,29,45,185,49,12,72
35,The Eyes of Jenny,Sandy Coast,2009,119,53,68,-12,8,68,264,34,4,44
36,Iris,The Goo Goo Dolls,2007,156,79,29,-6,8,51,290,0,4,75
37,The Saints Are Coming,U2,2006,152,81,32,-7,15,12,202,8,5,40
38,All My Life,Foo Fighters,2002,168,60,58,-6,48,65,263,0,5,72
39,De Weg,Guus Meeuwis,2005,72,21,46,-11,11,26,266,91,3,42
40,Don't Let Me Be Misunderstood,Santa Esmeralda,2003,118,82,67,-9,5,78,629,3,8,59
41,Traffic - Radio Edit,Tiësto,2009,138,64,71,-10,19,10,177,0,9,53
42,Take Me Out,Franz Ferdinand,2004,105,68,28,-9,14,49,237,0,4,74
43,American Idiot,Green Day,2004,186,99,38,-2,37,77,176,0,6,78
44,Breaking the Habit,Linkin Park,2003,100,85,58,-5,9,58,197,11,3,65
45,Come Undone,Robbie Williams,2002,168,57,38,-5,35,26,278,4,3,56
46,Sweet Jane,Lou Reed,2008,115,46,83,-10,70,88,331,48,6,43
47,Run,Snow Patrol,2004,75,64,37,-6,17,20,355,0,3,65
48,"You're The First, The Last, My Everything",Barry White,2009,131,72,64,-7,14,80,213,1,4,67
49,The Day After Tomorrow,Saybia,2005,76,77,46,-5,14,35,234,1,3,51
50,Just Breathe,Pearl Jam,2009,108,35,47,-11,8,28,216,72,3,69
51,Dansen Aan Zee,BLØF,2000,194,43,35,-11,10,26,275,16,3,52
52,Goodbye My Lover,James Blunt,2005,90,26,43,-13,9,27,259,95,5,69
53,The Unforgiven III,Metallica,2008,122,77,30,-3,12,9,467,0,3,52
54,Hurt,Christina Aguilera,2006,149,30,33,-7,11,14,243,78,3,67
55,Grounds for Divorce,Elbow,2009,92,76,52,-5,57,63,219,42,3,43
56,Sometimes You Can't Make It On Your Own,U2,2004,96,60,53,-6,11,35,305,0,2,57
57,"Listen (From the Motion Picture ""Dreamgirls"")",Beyoncé,2006,123,59,48,-5,18,20,218,27,5,44
58,I Want It That Way,Backstreet Boys,2001,99,70,69,-6,16,48,214,22,3,77
59,Goin To The Run,Golden Earring,2008,124,59,47,-8,28,18,236,42,3,38
60,De Neus Umhoeg,Rowwen Hèze,2005,132,41,62,-14,10,51,215,7,3,32
61,Solitary Man,Johnny Cash,2000,86,56,44,-7,25,70,144,35,3,47
62,Smoorverliefd,Doe Maar,2008,166,75,70,-9,19,91,195,13,10,48
63,Me Gustas Tu,Manu Chao,2001,176,74,66,-7,22,91,240,66,8,70
64,Kryptonite,3 Doors Down,2000,99,87,55,-6,17,54,234,1,3,77
65,Crazy,Seal,2004,103,86,63,-7,7,73,357,21,5,63
66,Family Portrait,P!nk,2001,92,69,76,-5,57,73,297,3,5,56
67,In The Army Now,Status Quo,2002,105,73,68,-8,14,94,281,11,2,59
68,I Surrender,Saybia,2004,136,43,28,-7,6,7,219,28,3,55
69,Maybe Tomorrow,Stereophonics,2003,81,65,50,-7,33,57,273,22,4,64
70,Make You Feel My Love,Adele,2008,77,18,55,-11,11,9,212,89,3,73
71,No One Knows,Queens of the Stone Age,2002,171,58,51,-5,37,67,279,3,6,65
72,Where Do You Go To (My Lovely) - Re-Recorded,Peter Sarstedt,2008,183,44,56,-8,12,44,288,29,3,58
73,The Wild Rover,The Dubliners,2008,178,68,30,-8,43,77,249,83,25,46
74,Little Lion Man,Mumford & Sons,2009,139,48,52,-8,9,46,247,3,3,67
75,Dirty Diana,Michael Jackson,2003,131,80,75,-5,42,37,281,24,5,55
76,Ne me quitte pas,Jacques Brel,2004,101,24,42,-11,19,30,229,82,5,58
77,Sad Man's Tongue,Volbeat,2007,110,96,43,-4,17,56,186,0,4,57
78,Wat Zou Je Doen - Live,Marco Borsato,2006,104,92,66,-6,61,46,229,38,17,30
79,One Day Like This,Elbow,2009,159,67,43,-6,14,38,394,9,3,45
80,Bagagedrager,Spinvis,2002,160,71,50,-8,43,33,375,8,5,45
81,Wêr Bisto,Twarres,2001,88,32,52,-11,9,18,226,33,2,48
82,Only Time,Enya,2000,83,25,42,-14,11,21,219,84,3,70
83,Sorry Seems To Be The Hardest Word,Blue,2004,79,60,56,-7,38,44,210,18,3,58
84,Self Esteem,The Offspring,2005,105,91,46,-4,36,61,258,2,6,72
85,Aanzoek Zonder Ringen,BLØF,2006,160,85,55,-8,32,46,283,2,4,42
86,Modern World,Anouk,2007,120,76,70,-5,13,68,210,12,6,42
87,Rosie,Claw Boys Claw,2007,100,55,59,-12,11,64,264,47,3,43
88,This Is Not America - 2002 Remaster,David Bowie,2002,115,67,72,-12,5,65,231,6,4,43
89,Times Like These,Foo Fighters,2002,145,91,38,-4,24,27,266,0,9,65
90,De Vondeling Van Ameland,Boudewijn de Groot,2007,110,35,39,-10,11,16,306,67,3,19
91,I'm Gonna Be (500 Miles),The Proclaimers,2003,132,55,85,-5,8,81,219,15,4,74
92,Afscheid Nemen Bestaat Niet,Marco Borsato,2006,128,40,40,-9,9,22,240,3,3,49
93,Blauwe Ruis,BLØF,2002,130,70,52,-7,13,35,268,4,4,41
94,Limburg - Live,Rowwen Hèze,2008,157,93,23,-5,93,28,403,29,17,32
95,21 Guns,Green Day,2009,160,74,27,-5,63,42,321,5,4,75
96,Valerie (feat. Amy Winehouse) - Version Revisited,Mark Ronson,2007,106,84,70,-5,12,89,219,0,5,62
97,Blaosmuziek,Gé Reinders,2005,61,13,27,-14,33,18,232,94,4,38
98,Binnen,Marco Borsato,2002,92,90,50,-7,15,67,275,1,6,30
99,Motorcycle Emptiness,Manic Street Preachers,2002,112,81,53,-4,16,21,306,0,3,39
100,In the End,Linkin Park,2000,105,86,56,-6,21,40,217,1,6,83
101,Halt mich,Herbert Grönemeyer,2008,104,44,29,-7,8,16,207,79,3,44
102,Girl,Anouk,2004,136,80,67,-5,6,79,211,1,3,56
103,"Trapped - Live at Meadowlands Arena, E. Rutherford, NJ - August 1984",Bruce Springsteen,2003,162,62,32,-6,60,36,308,3,3,40
104,Ik Wou Dat Ik Jou Was,Veldhuis & Kemper,2003,160,61,36,-6,11,49,237,54,4,58
105,Empire State of Mind (Part II) Broken Down,Alicia Keys,2009,93,37,48,-8,12,14,216,74,3,75
106,Numb / Encore,JAY-Z,2004,107,79,69,-4,58,75,206,6,17,75
107,Ben Ik Te Min,Armand,2009,101,69,62,-7,6,56,208,28,3,47
108,All Summer Long,Kid Rock,2007,103,86,70,-4,10,89,298,2,3,72
109,Forever Autumn,Jeff Wayne,2007,122,49,35,-7,21,21,273,47,3,41
110,Waiting On the World to Change,John Mayer,2006,177,76,58,-6,25,66,201,16,12,74
111,Everybody's Changing,Keane,2004,94,84,52,-4,10,46,215,0,3,54
112,How to Save a Life,The Fray,2005,122,74,64,-4,10,36,263,27,4,80
113,"Bloed, Zweet En Tranen",Andre Hazes,2002,68,72,60,-4,35,37,242,8,3,59
114,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,2005,171,74,69,-5,36,6,326,1,26,77
115,Europa (Earth's Cry Heaven's Smile),Santana,2007,75,67,30,-5,15,68,306,3,5,59
116,Feeling Good,Muse,2001,109,42,35,-8,10,27,199,30,3,51
117,"Harder, Better, Faster, Stronger",Daft Punk,2001,123,72,82,-9,36,69,225,4,14,71
118,Use Somebody,Kings of Leon,2008,137,72,28,-5,20,17,231,1,4,76
119,Sweet Disposition,The Temper Trap,2009,129,82,53,-7,12,34,231,7,4,64
120,Single Ladies (Put a Ring on It),Beyoncé,2008,193,58,43,-5,19,27,193,4,30,70
121,You're the Voice,John Farnham,2008,85,76,37,-9,58,64,302,22,5,62
122,Voltooid Verleden Tijd,IOS,2009,138,44,46,-9,10,15,294,66,3,39
123,Eternal Flame,The Bangles,2004,79,36,53,-7,9,40,238,53,2,70
124,Papa Was A Rolling Stone,The Temptations,2001,120,60,85,-12,19,87,433,6,4,44
125,Crazy In Love (feat. Jay-Z),Beyoncé,2003,99,77,65,-7,7,68,236,0,23,75
126,Best of You,Foo Fighters,2005,130,94,37,-5,19,37,256,0,7,75
127,Daughters,John Mayer,2003,125,41,67,-8,10,50,238,84,3,68
128,De wedstrijd,Bram Vermeulen,2006,136,85,58,-6,79,58,302,53,5,42
129,Papillon,Editors,2009,126,95,51,-5,30,63,324,0,6,56
130,Sadeness,Enigma,2001,96,64,59,-10,9,49,256,9,3,58
131,Red Mij Niet - Single Edit,Maarten Van Roozendaal,2001,119,38,52,-9,10,13,270,76,4,36
132,Love Is A Losing Game,Amy Winehouse,2006,165,56,48,-6,18,54,154,32,3,67
133,Zij,Marco Borsato,2002,58,40,25,-9,9,11,245,45,4,52
134,Tribute,Tenacious D,2001,94,77,37,-6,9,42,248,18,7,59
135,You Know I'm No Good,Amy Winehouse,2006,103,81,71,-4,7,73,257,1,3,74
136,Talk,Coldplay,2005,120,56,41,-11,16,16,311,1,3,63
137,Love Is A Battlefield,Pat Benatar,2001,91,63,67,-12,10,86,245,1,5,54
138,Home,Michael Bublé,2005,128,37,61,-9,11,35,226,84,3,64
139,Sonne,Rammstein,2001,75,92,51,-5,40,31,272,1,9,60
140,I Gotta Feeling,The Black Eyed Peas,2009,128,77,74,-6,51,61,289,9,3,69
141,She Sells Sanctuary,The Cult,2000,139,77,55,-9,13,42,253,0,3,63
142,Alie,Normaal,2008,93,77,52,-11,6,93,181,14,6,42
143,Red Red Wine,UB40,2000,89,47,86,-9,27,84,184,0,5,74
144,A Little Less Conversation - JXL Radio Edit Remix,Elvis Presley,2002,115,97,60,-6,13,72,212,0,5,64
145,Love You More,Racoon,2005,171,20,34,-11,11,30,197,76,3,43
146,Old Man,Neil Young,2004,141,30,71,-12,10,48,203,44,3,44
147,Zij Maakt Het Verschil,De Poema's,2003,173,55,34,-8,12,36,280,33,4,54
148,I Want To Hold Your Hand - Remastered 2015,The Beatles,2000,131,72,49,-6,31,87,146,39,5,75
149,Black Magic Woman,Santana,2007,124,55,50,-7,9,63,196,68,3,62
150,Set The Fire To The Third Bar,Snow Patrol,2006,96,38,54,-7,8,39,204,52,3,49
151,Ghost Love Score,Nightwish,2004,101,78,44,-5,29,19,602,1,4,38
152,Going To A Town,Rufus Wainwright,2007,124,46,56,-7,10,19,245,72,3,38
153,Is Dit Alles,Doe Maar,2008,121,41,83,-14,5,88,324,46,13,44
154,A Gentleman's Excuse Me,Fish,2008,126,17,33,-14,32,19,259,86,4,44
155,God Put a Smile upon Your Face,Coldplay,2002,127,56,61,-6,4,24,297,18,3,64
156,Heartbreak Warfare,John Mayer,2009,97,55,62,-8,30,31,270,19,2,66
157,Sailing to Philadelphia,Mark Knopfler,2005,99,48,59,-10,9,15,353,64,2,39
158,Accidentally In Love,Counting Crows,2004,138,93,55,-4,9,81,189,4,4,59
159,It's Raining Men,The Weather Girls,2008,136,93,66,-6,70,46,212,46,16,58
160,One Word,Anouk,2004,92,57,62,-8,11,34,243,10,3,52
161,Goodnight Saigon,Billy Joel,2001,129,39,59,-14,7,15,423,13,6,46
162,Moonlight Shadow,Mike Oldfield,2009,129,72,61,-8,36,80,218,29,3,64
163,Zing - Vecht - Huil - Bid - Lach - Werk En Bewonder,Ramses Shaffy,2006,130,32,53,-17,97,46,281,53,8,41
164,Uprising,Muse,2009,128,91,60,-4,12,41,305,0,8,76
165,My Immortal,Evanescence,2003,79,27,19,-9,13,10,263,86,4,74
166,Feel Like Flying,Racoon,2005,98,69,67,-7,10,83,213,6,3,41
167,Everything,Michael Bublé,2007,123,69,69,-5,9,49,212,39,3,73
168,Hey There Delilah,Plain White T's,2005,104,29,66,-11,11,30,233,87,3,80
169,Speeltuin,Marco Borsato,2002,112,8,53,-16,11,31,135,92,5,50
170,"Comptine d'un autre été, l'après-midi",Yann Tiersen,2001,100,19,48,-15,11,6,141,99,5,56
171,Sweet Goodbyes,Krezip,2009,110,33,63,-9,11,47,193,74,3,56
172,The Man Who Can't Be Moved,The Script,2008,100,63,61,-5,10,33,241,43,3,64
173,"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,2008,173,30,32,-13,70,44,264,77,3,75
174,Halo,Beyoncé,2008,80,72,51,-6,6,47,262,27,6,78
175,Hollereer,De Jeugd Van Tegenwoordig,2008,190,76,79,-7,10,49,346,3,24,46
176,Hier,BLØF,2000,164,76,50,-8,14,58,248,0,3,40
177,Ice Queen,Within Temptation,2003,92,57,26,-8,11,15,319,4,3,47
178,Another 45 Miles,Golden Earring,2008,91,59,56,-10,23,48,284,28,3,50
179,Like a Hurricane - 2003 Remaster,Neil Young,2004,114,83,42,-5,16,61,501,1,4,49
180,Father & Friend,Alain Clark,2007,98,62,66,-9,7,66,256,51,3,35
181,"(I've Had) The Time of My Life - From ""Dirty Dancing"" Soundtrack",Bill Medley,2004,109,78,70,-8,6,39,289,9,5,70
182,The Blower's Daughter,Damien Rice,2003,133,20,34,-14,34,7,287,13,3,56
183,Magnificent,U2,2009,115,72,53,-6,11,59,324,0,3,44
184,Virtual Insanity - Remastered,Jamiroquai,2006,92,95,66,-5,14,52,229,13,11,69
185,Belle Hélène,Doe Maar,2008,138,56,74,-10,8,98,170,11,4,49
186,Go With The Flow,Queens of the Stone Age,2002,159,99,24,-4,83,37,187,1,10,58
187,Sound Of The Screameng Day,Golden Earrings,2008,138,55,59,-8,29,50,171,0,3,26
188,Plug in Baby,Muse,2001,136,97,41,-4,11,35,218,0,5,53
189,Heavy Cross,Gossip,2009,120,69,79,-4,14,22,243,8,3,59
190,Nederwiet,Doe Maar,2008,131,71,78,-9,6,61,414,46,19,39
191,Heart Of Glass,Blondie,2006,115,70,73,-8,6,41,252,0,3,52
192,The Real Slim Shady,Eminem,2000,105,66,95,-4,5,76,284,3,6,80
193,Stuck In A Moment You Can't Get Out Of,U2,2000,159,64,52,-5,17,32,272,39,2,52
194,Tumble and Fall,JOHAN,2001,170,61,45,-7,9,48,209,2,3,36
195,Les lacs du Connemara,Michel Sardou,2004,112,59,30,-10,63,40,364,57,5,59
196,Hier Kom Ik Weg,Daniël Lohues,2008,92,38,57,-10,13,53,208,85,3,39
197,Starlight,Muse,2006,122,87,55,-4,21,32,240,0,3,73
198,Dakota,Stereophonics,2005,147,93,51,-3,9,31,297,13,7,68
199,Time To Say Goodbye (Con Te Partirò),Sarah Brightman,2006,105,44,29,-7,10,45,246,91,3,59
200,Green Eyes,Coldplay,2002,130,41,61,-9,23,23,223,54,3,63
201,Silence (feat. Sarah McLachlan) - DJ Tiësto's In Search of Sunrise Edit,Delerium,2004,138,85,60,-6,6,9,235,1,6,58
202,De Kapitein Deel II,Acda en de Munnik,2000,115,61,67,-11,11,67,181,41,3,51
203,Supermassive Black Hole,Muse,2006,120,92,67,-4,9,78,212,5,4,73
204,Pak Maar M'n Hand,Nick & Simon,2007,166,57,32,-5,11,38,212,38,3,59
205,De Bom,Doe Maar,2008,133,81,86,-8,12,85,161,31,4,49
206,Bombay,Golden Earring,2008,125,92,52,-7,2,73,234,2,5,34
207,Mary Jane's Last Dance,Tom Petty and the Heartbreakers,2008,170,66,46,-9,33,53,274,3,6,72
208,Oerend Hard,Normaal,2008,127,66,66,-10,8,84,225,12,10,52
209,Society,Eddie Vedder,2007,162,33,56,-11,11,30,236,90,3,67
210,White Flag,Dido,2003,170,54,51,-7,9,28,241,31,4,54
211,Heaven Must Be Missing An Angel - Pt. 1,Tavares,2004,117,75,61,-9,39,97,394,1,3,49
212,Wake Me up When September Ends,Green Day,2004,105,81,55,-5,10,15,286,2,3,77
213,Can't Stop,Red Hot Chili Peppers,2002,91,94,62,-3,17,88,269,2,5,80
214,Driving Home for Christmas,Chris Rea,2007,180,66,50,-9,21,89,240,33,4,80
215,Mutter,Rammstein,2001,116,62,49,-7,13,8,269,2,3,51
216,Pa,Doe Maar,2008,129,59,93,-12,11,96,219,43,5,41
217,Blauw,The Scene,2007,135,75,51,-7,14,28,236,0,3,47
218,Spicks And Specks,Bee Gees,2001,123,63,65,-7,28,71,172,78,3,47
219,Stan,Eminem,2000,80,77,78,-4,52,51,404,4,24,75
220,Beautiful,Christina Aguilera,2002,76,57,46,-4,11,10,239,58,3,71
221,Gravity,John Mayer,2006,124,33,76,-10,24,24,246,73,3,75
222,Leave the Light On,Beth Hart,2009,142,48,57,-6,10,16,244,26,3,32
223,Ruthless Queen,Kayak,2009,124,46,53,-10,20,22,291,8,3,32
224,Everlong - Acoustic Version,Foo Fighters,2009,144,34,64,-11,11,55,251,91,3,69
225,Here Without You,3 Doors Down,2002,144,55,54,-7,13,23,239,5,2,75
226,One,Mary J. Blige,2005,186,87,34,-3,13,27,260,8,8,61
227,Mijn Houten Hart,De Poema's,2003,70,59,43,-6,9,25,259,46,3,45
228,Mad World (Feat. Michael Andrews),Gary Jules,2002,174,6,35,-17,10,30,190,98,4,70
229,Sinds 1 Dag Of 2 (32 Jaar),Doe Maar,2008,114,60,88,-11,14,96,201,28,4,53
230,Feeling Good,Michael Bublé,2005,115,55,54,-7,12,48,237,53,4,64
231,The Wall Street Shuffle,10cc,2004,98,50,52,-11,11,66,242,16,3,46
232,Song 2,Blur,2000,130,71,66,-7,7,86,122,0,9,64
233,I Would Stay,Krezip,2000,95,26,47,-11,12,27,232,82,4,55
234,Piano Man,Billy Joel,2001,179,47,33,-9,32,43,336,60,3,70
235,Fireflies,Owl City,2009,180,66,51,-7,12,46,228,3,4,79
236,Lost,Anouk,2004,90,25,52,-10,14,14,222,22,3,51
237,Woman,Wolfmother,2006,113,95,22,-4,16,17,176,0,18,62
238,Where Is The Love?,The Black Eyed Peas,2003,94,70,83,-3,13,80,273,11,20,66
239,Yellow,Coldplay,2000,173,66,43,-7,23,28,267,0,3,82
240,This Is The Life,Amy Macdonald,2007,95,88,62,-5,7,86,184,27,3,41
241,Wicked Game,Chris Isaak,2006,113,55,67,-8,9,29,287,74,3,70
242,Breakeven,The Script,2008,94,70,63,-5,8,53,261,17,2,74
243,Not An Addict,K's Choice,2009,169,65,26,-7,12,34,288,0,4,43
244,So Incredible,Ilse DeLange,2008,104,86,54,-6,72,75,177,11,3,54
245,Mr Rock & Roll,Amy Macdonald,2007,111,87,60,-5,11,44,215,3,3,30
246,Will You Be There - Single Version,Michael Jackson,2005,83,63,41,-7,8,44,220,51,7,53
247,Vlinder,Rowwen Hèze,2003,175,79,35,-5,38,80,231,16,4,33
248,Cambodia,Kim Wilde,2006,111,57,70,-8,11,71,236,1,3,51
249,Back To Black,Amy Winehouse,2006,123,73,49,-3,10,34,240,12,4,77
250,Dochters,Marco Borsato,2008,128,52,64,-10,11,36,270,57,3,57
251,Hocus Pocus,Focus,2001,184,82,26,-6,28,40,403,2,15,53
252,Mensch,Herbert Grönemeyer,2008,174,78,68,-6,8,87,270,3,8,47
253,Amsterdam,Coldplay,2002,73,18,26,-10,12,11,319,84,3,57
254,Time Is Running Out,Muse,2004,118,84,59,-6,9,43,237,0,6,69
255,Rain Down on Me,Kane,2003,133,88,46,-3,11,33,247,0,6,47
256,Denis,Blondie,2006,139,77,53,-7,6,86,139,0,5,42
257,Hometown Glory,Adele,2008,123,34,45,-9,10,21,269,96,4,59
258,Live And Let Die - Live,Paul McCartney,2003,150,93,24,-3,97,23,185,36,8,60
259,I Still Cry,Ilse DeLange,2000,98,35,54,-9,13,16,274,32,3,30
260,Ren Lenny Ren,Acda en de Munnik,2002,110,87,51,-5,33,43,233,1,5,43
261,In My Place,Coldplay,2002,145,59,43,-5,30,19,227,6,3,70
262,Numb,Linkin Park,2003,110,86,50,-4,64,24,186,0,4,81
263,Slow Dancing in a Burning Room,John Mayer,2006,134,36,67,-9,8,29,242,57,3,76
264,Empire State Of Mind,JAY-Z,2009,174,96,49,-2,46,81,277,3,39,77
265,Drops of Jupiter,Train,2001,79,64,47,-6,15,50,260,15,3,77
266,Omarm,BLØF,2003,184,44,27,-9,10,8,252,41,3,46
267,(What A) Wonderful World,Sam Cooke,2000,129,51,69,-10,46,89,125,63,3,71
268,Teardrops,Womack & Womack,2001,133,72,87,-10,18,97,229,9,5,61
269,The Rising,Bruce Springsteen,2002,110,76,50,-6,9,33,287,7,3,53
270,Snow (Hey Oh),Red Hot Chili Peppers,2006,105,90,43,-4,12,60,335,12,5,80
271,I Don't Wanna Hurt,Anouk,2007,79,48,48,-7,10,22,213,60,3,46
272,Ordinary People,John Legend,2005,67,13,47,-14,9,36,281,93,8,69
273,Iedereen Is Van De Wereld,The Scene,2007,118,73,45,-7,29,38,228,0,4,50
274,Gold,Spandau Ballet,2000,143,74,71,-8,10,64,231,26,4,66
275,All Night Long (All Night) - Single Version,Lionel Richie,2003,109,58,74,-12,5,78,260,12,5,64
276,Can't Stop Loving You - 2016 Remaster,Phil Collins,2002,100,78,60,-6,11,42,256,1,3,62
277,City Of Blinding Lights,U2,2004,139,77,44,-4,11,20,346,0,3,60
278,Munich,Editors,2005,149,88,18,-4,32,39,226,0,5,61
279,Hey Ya!,OutKast,2003,80,97,73,-2,18,97,235,10,7,79
280,There Must Be an Angel (Playing with My Heart),Eurythmics,2005,112,78,58,-5,8,60,281,28,4,40
281,Laat Me / Vivre - Lange Versie,Alderliefste met Ramses Shaffy en Liesbeth List,2005,81,41,66,-9,16,37,386,60,3,43
282,Watskeburt?!,De Jeugd Van Tegenwoordig,2008,130,49,95,-8,23,59,376,1,23,55
283,Feel,Robbie Williams,2002,98,73,60,-7,14,29,264,1,3,72
284,Lady Jane - (Original Single Mono Version),The Rolling Stones,2004,205,47,38,-12,9,31,190,34,5,34
285,La Isla Bonita,Madonna,2009,100,83,71,-5,6,97,243,39,4,66
286,Go Like Elijah,Chi Coltrane,2009,134,88,63,-5,17,49,242,4,4,40
287,Chop Suey!,System Of A Down,2001,127,93,42,-4,13,29,210,0,12,80
288,Sorry - (Live in Tivoli),Kyteman,2009,68,47,35,-9,66,20,150,94,4,47
289,Black or White - Single Version,Michael Jackson,2005,115,89,74,-4,9,96,203,8,5,64
290,Shut Your Eyes,Snow Patrol,2006,125,74,69,-6,8,84,197,15,3,42
291,Ironic,Alanis Morissette,2005,171,64,46,-6,19,29,229,25,6,62
292,I Bet You Look Good On The Dancefloor,Arctic Monkeys,2006,103,95,54,-4,38,78,174,0,4,58
293,Hurt,Johnny Cash,2002,90,39,53,-8,9,16,217,65,3,75
294,Vogue,Madonna,2009,116,88,74,-6,42,33,317,0,4,66
295,If I Were a Boy,Beyoncé,2008,90,52,63,-6,35,43,249,11,3,68
296,Dyna-Mite,Mud,2005,141,92,58,-5,20,77,177,0,6,40
297,Une Belle Histoire (Een Mooi Verhaal),Alderliefste,2008,87,68,57,-8,18,67,268,36,3,38
298,Sandstorm - Radio Edit,Darude,2007,136,98,54,-8,8,52,225,17,5,61
299,Right Next Door (Because Of Me),Robert Cray,2002,87,65,61,-8,5,79,259,23,5,52
300,Hald Mich 'S Vas,Neet Oét Lottum,2004,179,54,29,-8,12,16,251,29,4,39
301,Like a Prayer,Madonna,2009,111,84,62,-5,18,26,343,26,4,71
302,Rockin' All Over The World,Status Quo,2005,131,96,62,-5,51,97,217,13,4,47
303,Blue Hotel,Chris Isaak,2006,149,81,52,-4,12,53,192,0,3,42
304,Dear Mr. President,P!nk,2009,128,30,48,-9,11,30,281,85,4,43
305,Stiekem Gedanst,Toontje Lager,2008,96,63,66,-10,60,84,215,21,6,53
306,Human,The Killers,2008,135,80,56,-8,9,58,245,0,6,73
307,Lady Madonna - Remastered 2015,The Beatles,2000,110,78,65,-5,22,57,137,14,3,63
308,Both Sides Now,Joni Mitchell,2000,78,14,26,-14,10,14,345,87,3,65
309,God Is a DJ,Faithless,2005,131,90,61,-7,17,39,209,18,4,57
310,Viva La Vida,Coldplay,2008,138,62,49,-7,11,42,242,9,3,78
311,Kids,MGMT,2007,123,93,45,-4,36,17,303,0,7,76
312,Bend & Break,Keane,2004,138,84,47,-4,16,48,220,0,3,43
313,We Can Work It Out - Remastered 2015,The Beatles,2000,106,68,38,-9,18,65,136,6,3,63
314,Sing for Absolution,Muse,2004,170,68,44,-7,9,19,295,46,3,57
315,Superstition - Single Version,Stevie Wonder,2002,100,63,63,-12,4,87,245,4,7,77
316,Vertigo,U2,2004,140,82,42,-4,15,63,194,0,6,65
317,By the Way,Red Hot Chili Peppers,2002,122,97,45,-5,10,20,217,3,11,74
318,Hey Jude,The Beatles,2006,74,63,46,-7,40,59,239,9,2,63
319,November,Rowwen Hèze,2005,186,40,32,-9,22,23,296,63,4,35
320,Geef Mij Je Angst,Guus Meeuwis,2006,81,56,37,-11,97,42,224,75,5,54
321,Stuck In The Middle With You,Stealers Wheel,2009,124,56,80,-10,6,96,204,9,4,72
322,Het Regent Zonnestralen,Acda en de Munnik,2005,108,75,62,-6,11,83,226,41,3,57
323,Violet Hill,Coldplay,2008,76,58,35,-8,12,11,223,6,4,61
324,Dog Days Are Over,Florence + The Machine,2009,150,81,49,-5,12,25,252,4,8,69
