,title,artist,year,bpm,en,dnce,loud,live,val,dur,acous,speech,pop
1786,As,George Michael,1998,93,74,67,-8,20,77,282,14,19,61
1787,Pure Morning,Placebo,1998,81,90,39,-7,11,20,255,4,7,60
1788,She's The One,Robbie Williams,1998,167,61,24,-8,22,33,258,66,3,68
1789,Ik Heb Je Lief,Stef Bos,1998,131,48,30,-12,73,24,231,77,6,44
1790,Pretty Fly (For A White Guy),The Offspring,1998,143,90,72,-4,7,96,189,9,10,72
1791,I Can't Make You Love Me,George Michael,1998,116,19,56,-13,11,12,321,73,3,53
1792,Praise You,Fatboy Slim,1998,110,89,60,-9,17,53,323,10,5,44
1793,Sacrifice,Anouk,1998,136,17,54,-13,9,24,238,74,5,11
1794,Toveren,Herman van Veen,1998,145,28,81,-15,21,81,206,58,3,44
1795,Kissing a Fool,George Michael,1998,117,27,39,-14,11,17,275,17,3,56
1796,Hijo de la Luna,Mecano,1998,179,54,45,-7,6,61,266,68,3,62
1797,"Slaap Zacht , Elisabeth",Acda en de Munnik,1998,174,38,44,-11,10,19,263,36,3,37
1798,Angels,Robbie Williams,1999,150,59,44,-7,10,25,266,15,3,50
1799,Tears in Heaven,Eric Clapton,1999,154,24,50,-12,13,31,272,84,3,61
1800,Californication,Red Hot Chili Peppers,1999,96,77,59,-3,13,33,330,0,3,81
1801,Harder Dan Ik Hebben Kan,BLØF,1999,90,40,62,-10,15,35,254,9,2,57
1802,Learn to Fly,Foo Fighters,1999,136,92,47,-4,26,54,235,0,4,74
1803,Total Eclipse of the Heart,Bonnie Tyler,1999,130,66,44,-8,10,18,270,20,7,75
1804,Scar Tissue,Red Hot Chili Peppers,1999,89,72,60,-5,11,55,216,8,3,77
1805,Otherside,Red Hot Chili Peppers,1999,123,80,46,-3,8,51,255,0,6,78
1806,"You'll Be In My Heart - From ""Tarzan""/Soundtrack Version",Phil Collins,1999,97,74,57,-6,9,66,258,6,3,62
1807,Let Me Entertain You,Robbie Williams,1999,125,96,46,-5,9,37,261,0,7,44
1808,Road Trippin',Red Hot Chili Peppers,1999,204,47,24,-8,12,39,205,31,4,62
1809,Jesus He Knows Me,Genesis,1999,95,87,60,-7,8,65,256,57,4,18
1810,The Family Tree,Venice,1999,127,10,34,-16,10,26,205,81,3,41
1811,Porcelain,Moby,1999,95,64,30,-8,25,33,241,0,3,54
1812,Unintended,Muse,1999,139,28,49,-12,11,16,237,65,3,61
1813,LA Song,Beth Hart,1999,130,62,77,-8,9,51,217,10,4,41
1814,The Dolphin's Cry,Live,1999,150,79,34,-6,14,43,264,0,4,56
1815,All Star,Smash Mouth,1999,104,87,73,-6,9,78,200,4,3,80
1816,Why Does My Heart Feel So Bad?,Moby,1999,98,62,60,-7,8,5,265,0,3,45
1817,Il Volo,Zucchero,1999,150,40,45,-12,6,17,332,3,3,24
1818,The Next Episode,Dr. Dre,1999,95,91,92,-2,9,31,162,3,27,70
1819,Geen Kind Meer,Karin Bloemen,1999,77,17,50,-16,14,25,263,95,3,38
1820,All The Small Things,blink-182,1999,149,90,43,-5,61,68,167,1,5,79
1821,Run To The Water,Live,1999,181,85,15,-5,9,29,268,0,5,48
1822,Hart Van Mijn Gevoel,De Kast,1999,140,43,44,-10,14,26,269,54,3,44
1823,Smooth (feat. Rob Thomas),Santana,1999,116,92,61,-4,30,96,295,16,3,70
1824,My Name Is,Eminem,1999,86,68,87,-6,9,82,268,4,32,72
1825,Desert Rose,Sting,1999,112,65,58,-8,11,13,286,1,3,52
1826,Hey Boy Hey Girl,The Chemical Brothers,1999,127,92,63,-5,11,36,290,12,5,65
1827,At Last,Etta James,1960,87,35,27,-9,33,33,180,55,3,74
1828,Can't Help Falling in Love,Elvis Presley,1961,100,29,40,-14,11,34,182,94,3,78
